"FAQ Categories","Categorie FAQ"
title,titolo
FAQs,FAQ
"Read more","Leggi"
"There are no FAQs was found.","Non sono state trovate FAQ."
"* Required Fields","* Campi Richiesti"
"Search Frequently Asked Question","Cerca le nostre FAQ"
Search,Search
"Welcome to our support portal","Benvenuti sul nostro portale di supporto"
"There are no FAQ Categories was found.","Non sono state trovate Categorie FAQ."
"Frequently Asked Questions","Domande Frequenti"
"There are no frequently asked questions was found.","Non sono state trovate domande frequenti."
"Latest Questions","Domande Recenti"
"There are no latest questions was found.","Non sono state trovate domande recenti"
"Created by","Scritto da"
"Published in","Pubblicato in"
Views.,Visite.
"Glad to hear it [34m~@~T Thanks for the feedback","Felice si sentirlo [34m~@~T Grazie per il contributo"
"Was this article helpful?","E' stato questo articolo di aiuto?"
Yes,Sì
No,No
"Related Questions: ","Domande Correlate: "
"Search results for: ","Risultati di ricerca per: "
